web-scraper-order,web-scraper-start-url,title,availability ,price,datasheet-src,features
"1779654173-55","https://www.rotorama.com/product/iflight-xing-e-pro-2207-2450kv","iFlight XING-E Pro 2207 2450Kv","In Stock","€ 15,59","https://www.rotorama.cz/cms/assets/docs/1f45b3af23cb75fbe60169ec02fa483c/16574-0/2450kv.jpg","Key Features

                                                            Size: 2207Kv: 2750KvMounting holes: 16mm M3Bearings: NSK 9x4x4Magnets: N52SH curvedEngine size: 28.5x19.7mmWeight: 32.8gCables: 150mm 20AWG"
"1779654175-56","https://www.rotorama.com/product/rcinpower-gts-1304-11500kv-v3","RCinpower GTS V3 1304 11500Kv","In Stock","€ 15,49","https://www.rotorama.com/cms/assets/docs/75771c5e42c328644bf7c9350666758b/32094-0/s50dd565dd7504582a4c3b828ad64813fz.jpg","Key Features

                                                            Stator diameter: 13mmStator height: 4mmKV: 11500Configuration: 9N12PSize: 16.5x11.4mmWeight: 6.2g (5cm cable), 7.7g (long cable)Magnets: N52H ARCMounting holes: 9mm M2Shaft: 1.5mm"
"1779654177-57","https://www.rotorama.com/product/geprc-speedx2-1404-3850kv","GEPRC SpeedX2 1404 3850Kv","On the way - Jun 30, 2026","€ 15,59","https://www.rotorama.cz/cms/assets/docs/e1f254fbab5f780fe7469d8afb86537a/26543-0/4-4_6838176f7d17f.jpg","Key Features

                                                            Size: 1404Kv: 3850Shaft: 1.5mmDimensions: 18.2x13.8mmWeight: 10.5g including cableMagnets: N52HBearings: NMB/NSKConfiguration: 9N/12PCables: 26AWG 160mmMounting holes: 9mm M2"
"1779654179-58","https://www.rotorama.com/product/flyfish-flash-1303-5-5500kv","FlyfishRC Flash 1303.5 5500kv","In Stock","€ 15,09","https://www.rotorama.cz/cms/assets/docs/c8b901942f01db30c1962a360f2d7468/21113-0/flash1303.5motor-1.jpg","Key Features

                                                            Size: 1303.5Kv: 5500Configuration: 12N14PDimensions: 17.6 * 11.5 mmWeight: 7.5g (including cable)Cable: 24AWG 120mmMounting holes: 9mm M2Shaft: 1.5mm"
"1779654181-59","https://www.rotorama.com/product/rcinpower-gts-v2-1207-6000kv","RCinpower GTS V2 1207 6000Kv","In Stock","€ 15,09","/cms/assets/images/134f7453ab47acdf1225643ebaedb795/16430-600.png","Key Features

                                                            Size: 1207Kv: 6000Inner shaft diameter: 2mmOuter shaft diameter: 1.5mmWeight: 9.3g (including cable)Mounting holes: 9mm M2Magnets: N52HShaft: Super hard alloy steel shaftBearings: d2*D5*H2.5 520zz Japan ISCWinding: 200℃ Class Single oxygen-free copperMaterial: 7075-T6Cables: 28AWG 9cm"
"1779654183-60","https://www.rotorama.com/product/deepspace-aether-1505-4000kv","DeepSpace Aether 1505 4000Kv","On the way","€ 14,79","https://www.rotorama.cz/cms/assets/docs/2c71d9d15bebf2acbe1c01f18bba3d85/28942-0/1744372632924-0_68aeee7d1077b.jpg","Key Features

                                                            Size: 1505Kv: 4000Configuration: 12N14PMounting holes: 12mm M2Shaft: 1.5mmCable: 22AWG 15cmWeight: 12.2g (including cable)"
"1779654185-61","https://www.rotorama.com/product/emax-eco-ii-2004-3000kv","Emax Eco II 2004 3000KV","On the way - Jun 24, 2026","€ 14,39","/cms/assets/images/2b6b782e090444bc1fda5cc717956dea/10786-1060.jpg","Key Features

                                                            Size: 2004Dimensions: 24.7x19.2mmConfiguration: 12N14PKv: 3000Mounting holes: 12mm M2Propeller mounting: T-mount - 1.5mm Weight: 16.4g (without cable)Magnets: N52SH ArcMaterial: Al 7075Inner shaft: 3mm steelCables: 24AWG 120mm"
"1779654187-62","https://www.rotorama.com/product/emax-emax-eco-ii-2004-2400kv","Emax Eco II 2004 2400KV","In Stock","€ 14,39","/cms/assets/images/2b6b782e090444bc1fda5cc717956dea/10786-1060.jpg","Key Features

                                                            Size: 2004Dimensions: 24.7x19.2mmConfiguration: 12N14PKv: 2400Mounting holes: 12mm M2Propeller mounting: T-mount - 1.5mmWeight: 16.4g (without cable)Magnets: N52SH ArcMaterial: Al 7075Inner shaft: 3mm steelCables: 24AWG 120mm"
"1779654190-63","https://www.rotorama.com/product/betafpv-lava-1104-7200kv","BetaFPV LAVA 1104 7200Kv","In Stock","€ 14,39","https://www.rotorama.cz/cms/assets/docs/53c988451a072d12d3881aff4c0257a3/30219-0/9948510e3dcfc96b7b03038a28ab2954.jpg","Key Features

                                                            
	Size: 1104
	Kv: 7200
	Shaft diameter: 1.5 mm
	Shaft height: 5 mm
	Cables: 28AWG 24 mm with connector
	Mounting holes: 9 mm M2
	Weight: 5.3 g"
"1779654191-64","https://www.rotorama.com/product/rcinpower-gts-v3-1103-18000kv","RCinpower GTS V3 1003 18000Kv","In Stock","€ 14,29","/cms/assets/images/3c1fb54e7a3b9c4f7fb089f4b775103c/15056-850.jpg","Key Features

                                                            
		Size: 1003
		Kv: 18000
		Shaft: 1,5mm
		Weight: 3.45g
		Configuration: 9N12P
	Mounting holes: 6.6mm M1.4/ 9mm M2"
"1779654193-65","https://www.rotorama.com/product/darwinfpv-1103-8000kv-bling","DarwinFPV Bling 1103 8000Kv","In Stock","€ 13,79","https://www.rotorama.com/cms/assets/docs/41070634de64421bdcd77b5f1baa6f6b/32774-0/the-more-details-for-1103-motor-1.jpg","Key Features

                                                            Size: 1103Kv: 8000Configuration: 9N12PDimensions: 14.2x9.5mmWeight: 4.1g (including cable)Cable: 28AWGMounting holes: 8.5mm M1.6Magnets: N52Bearings: NSK 1.5x4x2"
"1779654195-66","https://www.rotorama.com/product/geprc-speedx2-1002-25000kv","GEPRC SpeedX2 1002 25000Kv","In Stock","€ 13,49","https://www.rotorama.cz/cms/assets/docs/c12d1be8945b53430d7f1ab8b28df96a/23484-0/4-5_677bd2732ad62.jpg","Key Features

                                                            Size: 1002Kv: 25000Weight: 2.5g with cable and connectorDimensions: Φ13.69mm*7.9N12PCables: 28AWG 36mmMounting holes: 6.6mm M1.4Shaft size: Φ1.5mmBearings: 415zz"
